Human_classifier_polarity,label,Metacritic_polarity,review
1,regular,1,What little plot there is involves drug-running and is just about as disposable as everything in this paltry excuse for a movie.
1,regular,1,"Mostly loud and graceless, despite some arresting hyperbolic visuals that deserve an action film of actual soul and purpose. It's simply too generic at heart to justify director Schwentke's delirious, sidewinding, arcing, snap-zooming and whip-panning anti-gravity camerawork. "
0,regular,0,"The movie blows a fresh wind of disrespect, high drama and lush romanticism through that stolidly middlebrow subgenre, the period drama."
0,regular,0,Funny and sweet and guaranteed to flood you with good feeling.
0,regular,0,"Though there are occasional stumbles along the 1,100-mile hike, the peaks in Wild make the journey more than worth it."
0,regular,0,Promised Land is an involving and timely tale that explores the changing nature and complex challenges of rural life.
0,regular,0,The movie survives beautifully both as an elegant thriller and as a study of the twisted infantilism that shapes the fanatic heart.
1,regular,1,A total disaster.
1,regular,1,"Shots of blood and naked bodies clash bizarrely with Coppola's more quaint and engaging notions; the result may be intended as a dialectical encounter, but seems more like a head-on collision."
1,regular,1,"It is funny at times – the teams for dodgeball break down into ""popular"" and ""unpopular"" – but Chicken Little is painful to watch for all ages."
0,regular,0,It's so earnest it hurts.
0,regular,0,"Anyone who cares about ravishing filmmaking, superb acting and movies willing to dive into the mystery of unconditional love will leave this dark romance both shaken and invigorated."
1,regular,1,"There is humor in the familiar just waiting to be rehashed for new generations, and A Guy Thing surely isn't the last stupid leave-'em-at-the-altar film we're likely to see."
1,regular,1,"It's a syrupy, downbeat film."
1,regular,1,I could not see it as anything more than a giant bore that presents viewers with the most familiar plot devices imaginable but fails to present them in a way that makes them worth sitting through once again.
0,regular,0,The Red Turtle benefits from being open to all sorts of possibilities and interpretations because we sense that Dudok de Wit respects our imaginings. He allows them to take shape right alongside his own.
0,regular,0,"It's agony, in a rewarding way, to squirm and cringe and groan through an ordeal so realistically re-created. "
1,regular,1,"A snooze, despite all the sex and other gunplay. "
0,regular,0,"By the climax all concerns have gone out the window, as Vigalondo delivers an operatic finale that feels both earned and genuinely cathartic. For better and worse, you won't have seen a movie like Colossal before, and you won't again. And that, in itself, is a strong recommendation. "
1,regular,1,A dull but harmless big-screen comedy aimed at the youngest movie goers.
1,regular,1,"Sex Tape settles for violence when violent slapstick, a lot harder to finesse, was the implicit goal of the picture."
0,regular,0,"Hoffman and the film are terrific. Supported by the eminent Catherine Keener (as author Harper Lee) and Chris Cooper (as detective Alvin Dewey), Hoffman begins with a dead-on impersonation of Capote that soon becomes a kind of channeling as the audience comes to see this American tragedy through his eyes."
0,regular,0,Irresistibly bleak appeal.
1,regular,1,"Little kidniks with an appetite for zap-pow silliness might find this to their liking. Everyone else, beware."
0,regular,0,"None of this amounts to anything more than goofy fun, but that's what the ads promise, and the movie delivers."
1,regular,1,There's something reassuring about the fact that The Avengers is so rotten: proof yet again that people with piles of money can hire wizard production designers but can't fake class.
1,regular,1,"Criminal's absence of style, the lack of relish the filmmakers take in the material's inherent ludicrousness, is a failure of conviction."
0,regular,0,"The film is shot with handheld cameras in the standard mockumentary style, but the content is often hilarious, especially when the trolls show up. There's also a marvelous deadpan comic performance by Otto Jespersen as a troll-hunter and tireless dispenser of troll lore."
1,regular,1,"If not better, a Part II always has to be bigger. In the case of The Hangover Part II, that means raunchier, nastier, darker. It also means much more predictable, which is ruinous."
0,regular,0,A movie whose story may be even more innovative than the superreal solidity of the animated characters.
0,regular,0,Stuffed to the gills with Perry's mix of the sacred and the silly and a serious dose of self-help for the self-absorbed.
1,regular,1,"Its blind reverence toward the Russian mythos is so grandiose that it becomes impossible to rescue it from self-importance, and as such President Putin would likely give it two big thumbs up."
1,regular,1,Even young would-be botanists will find this charmless animated adventure as exciting as watching grass grow.
1,regular,1,"Thrills and drama are left standing on the tarmac in Boarding Gate a limp, sleazy inanity by renowned French critic cum erratic helmer Olivier Assayas."
0,regular,0,"Everything I've ever dreamed of in a crazy comedy.  It's close to pure farce, yet its laughs are grounded in loneliness, impotence, self-loathing, and that most discomfiting of vices to dramatize: envy.  The action is surreal, the emotions are violently real."
0,regular,0,Mutants abound as each episode trips the light fantastic.
1,regular,1,"Dream House also manages to commit a cardinal thriller sin: casting well-known actors in ostensibly inconsequential roles, which in this case reveals the real culprit before the mystery proper has even begun."
0,regular,0,"Hail, Caesar! is a lot of fun, and beautifully crafted, too. One to savour."
0,regular,0,"Van Bebber's film is tough, difficult, sporadically brilliant cinema, to be sure, and I doubt he'd have had it any other way. And as strange as it may sound, neither should the audience. "
1,regular,1,Thoroughly inept in just about every aspect.
0,regular,0,The movie's pleasures draw on old-fashioned Italian neo-realist simplicity.
1,regular,1,"Tacky-looking, incoherent, badly acted and hopelessly directed disaster is easily the dullest adventure film of 2000."
0,regular,0,"Half a century after ""Wait Until Dark"" pitted a blind Audrey Hepburn against the three crooks trying to get into her apartment, along comes Don’t Breathe to successfully invert its scenario. "
1,regular,1,"A ridiculous fusion of ""Paranormal Activity"" and ""Glee"" that is so incredibly dumb that it is almost, but never quite, scary to behold."
1,regular,1,"Woodley has been first-rate in everything she’s been in, particularly the “Divergent” series. But there’s something about her performance here that feels like the sincere and dutiful dispersal of medicine."
1,regular,1,Lawrence is so ON that he appears to be gunning for clockwork bursts of audience approval.
0,regular,0,Just a plain old fun movie.
0,regular,0,"It is a thoughtful film, a serious one, and one that is sneakily affecting."
0,regular,0,"Beautifully acted and handsomely mounted, this gorgeous period piece is an intelligent and intriguing exploration of ""the dark arts"" -- less dependent on mere hocus-pocus than on the convincing journey of the soul undertaken by its hero."
1,regular,1,"This last angle had us thinking back to “Risky Business,” as did the Chicago setting and the reveling gone off the rails. Here, though, there’s no edge to the wildness, nothing memorable."
1,regular,1,"One of the least appealing movies I've seen in a while.... When a member of the audience belched loudly, that got the biggest laugh of the day. [17 June 1986, p.E26]"
0,regular,0,"Let Me In is not as fantastic as ""Let the Right One In,"" which you should rent immediately. But it is undeniably powerful and made with obvious admiration and respect for the source material."
1,regular,1,"It's possible Hill has a style, of sorts. But he doesn't work from the heart, or from the gut, as a good comedy director generally needs to. He operates from one guiding question: ""How disturbing can we make this sh?"""
1,regular,1,"The four leads are nothing if not game, and actually earn  respect, along with a fair amount of sympathy, for their uninhibited willingness to go to extremes. But there are limits to what they can do to dispel the overall sense of mounting desperation as the gross-out tomfoolery grows ever more tedious."
0,regular,0,A glorious late-summer pendant.
0,regular,0,"This is a movie about draining, tenderizing and chopping up the audience emotionally."
0,regular,0,It does what it desires to do - it suspensefully squeezes the sweat out of the pores - but the salty stench it leaves behind in the persona of Annie Wilkes is a residue that transcends its intentions. [30 Nov 1990]
0,regular,0,"Not just one of the great racing movies of all time, but a virtuoso feat of filmmaking in its own right, elevated by two of the year’s most compelling performances. "
1,regular,1,Franchise morphs into generic slasher series without Jigsaw.
0,regular,0,"A fascinating movie that, if you are able to make the leap it asks of you at about the three-quarter mark, will give you something to think and talk about for days. One thing is certain: It isn't predictable."
1,regular,1,"Shove people into categories, then into a film like Think Like a Man, and it's a recipe for tedium."
0,regular,0,"A remarkable movie with an unsatisfying ending, which is just the point."
1,regular,1,"It is really not about anything at all except the mistakes, pitfalls and dumb decisions that plague the career of talented but misguided Australian actor Guy Pearce in his attempts to become an American film star."
0,regular,0,What makes this nominee for the best-foreign-film Oscar singular among Holocaust movies is the way it characterizes the banality of life underground.
0,regular,0,This exercise in racked nerves makes most of the year's thrillers look like flailing maniacs by comparison.
0,regular,0,"As Kym, Hathaway runs an astonishing gamut of emotions, from anger to fragility and from hurt to regret - without ever seeming actress-y, like Nicole Kidman. Start clearing that mantelpiece, Anne."
0,regular,0,The mesmerizing narrative recounts a media circus of unrivaled malignance.
1,regular,1,"Whatever ideas Mohawk had behind it, whatever the filmmaker saw in the cast, especially Ms. Horn (think Grace Slick circa “White Rabbit”) not much of a movie came out of the effort."
0,regular,0,Those who deplore Beavis and Butt-Head are confusing the messengers with the message.
0,regular,0,"Mr. Kurosawa, a prolific and skilled genre master, spins this parable with a light, nimble touch, punctuating heavy passages of exposition with punchy, modest action sequences and snatches of incongruously bouncy music. "
1,regular,1,"This is less a caper than a trudge; a linear adventure that proceeds in fits and starts, with few surprises and fewer laughs. There's barely even a hangover."
0,regular,0,Redford blows the dust off a 35-year-old scandal about rigged TV quiz shows and makes it snap with up-to-the-minute relevance.
0,regular,0,"A mesmerizing film that is the most stunning, tempestuous love story in a decade or two of movie making."
0,regular,0,"The sort of suspenseful, old-fashioned war movie that should particularly appealing to older viewers, provided they don't mind reading subtitles."
1,regular,1,"A second-rate adaptation of the second-rate Choderlos de Laclos novel: two hours of pretty people sitting in pretty rooms and talking about sex. [23 Dec 1988, A& L, p.19]"
1,regular,1,"Right up to its simplistic ending, the film is pleased to regurgitate the contrived tropes of the genre without ever honestly addressing the ethics of romantic boundaries."
1,regular,1,"Newsies is a live-action musical, but it's only barely alive. Call it ""Snoozies."" [10 Apr 1992]"
0,regular,0,"With dialogue kept to a minimum, cinematographer Agnés Godard confirms her status as one of the most extraordinary visual artists working today."
1,regular,1,"Stiller strives to be a wild and wacky villain, Vaughn endeavors to be a likable and average hero, and both fall flat on their faces, like everything else in this unspeakably stupid comedy."
1,regular,1,"It's all neat and sweet and one-dimensional, more the moral to a story than a story."
1,regular,1,"A sweet and sloppy jumble of fantasy, sentimentality, comedy and soul-searching that feels like a sitcom that never got past the pilot stage. "
1,regular,1,An unsalvageable wreck.
1,regular,1,"After several scenes of this tacky nonsense, you'll be wistful for the testosterone-charged wizardry of Jerry Bruckheimer productions, especially because Half Past Dead is like ""The Rock"" on a Wal-Mart budget. And the marked-down price tags are incredibly visible."
1,regular,1,"8 1/2 Women is a collage-y, self-reflexive sort of film that is designed to shock but more often just annoys."
0,regular,0,"The film mixes unashamed kitsch, thrilling airfight scenes and dark historical drama. But what gives it a special charge is its portrait of the Czech RAF group: what happened to them before, during and after the war."
1,regular,1,"Braveheart is too much, too late."
1,regular,1,"The movie lacks any sense of subcultural specificity, though it has a superabundant country music score. [22 Apr 1997]"
1,regular,1,A curiously loud and ugly beast of a sequel.
1,regular,1,Vacant and pointless.
0,regular,0,A potential cultural juggernaut.
0,regular,0,"Though it's become almost redundant to say so, major kudos go to Leigh for actually casting people who look working-class; you'd be hard-pressed to get an American studio to go along with that, even though Leigh alumni often become famous."
0,regular,0,"Results in about the nicest movie you could ask for at the holidays: a gently funny, sweetly adventurous film that makes you feel genuinely good, that is to say, entirely unconned by false sentiment or sharp, overmanipulative Hollywood practices."
0,regular,0,"A Royal Affair is basically a good-looking set of historical Cliffs Notes. There, is however, one excellent reason to see it: Folsgaard, who by the end has made his betrayed and bereft Christian into a figure of genuine tragedy."
1,regular,1,"Unfortunately, this movie needed an attractive, irresistibly charismatic performer to give us some reason for watching. Madonna is made up to look like Eva, but this is hardly enough to carry the movie."
1,regular,1,Feels patently inauthentic.
1,regular,1,"On paper, this sounded like a winner. In reality? We have met the Enemy at the multiplex, and he's silly. [08 Feb 1991, p.4D]"
1,regular,1,"Poor old Mr. Magoo should have been allowed to rest in piece. This film suggests that when you loot a crypt, you're likely to find a corpse."
1,regular,1,The movie is somewhat below average. The plot doesn't always hold together.
1,regular,1,"A convoluted, pointless thriller that wastes the considerable talent of Max von Sydow."
1,regular,1,"Ultimately it's an ugly, insipid rape fantasy, nothing more."
0,regular,0,A well-orchestrated nightmare that keeps you on edge until the very end.
0,regular,0,Many inspirational sports movies provide only junk food for thought; this one contains some authentic reflections of sport in the civil rights era.
1,regular,1,"For a movie that’s ostensibly about casting off the shackles of old age and embracing excitement in life, there isn’t a single moment here that feels original or spontaneous."
1,regular,1,Doesn't make the movie worth watching -- even if you're monstrously bored.
0,regular,0,"It's a horror flick, and a creepily good one, that also functions as an allegory of the war that still haunts Spain seven decades later."
