Human_classifier_polarity,label,Metacritic_polarity,review
0,regular,0,"The Book of Life represents Guillermo del Toro's most hands-on foray (to date) into the realm of family friendly entertainment; this is closer in tone and sensibility to one of Tim Burton's offbeat animated films than one of Pixar's more ""vanilla"" productions."
1,regular,1,"The director Alister Grierson, not grasping that bad dialogue is sometimes best delivered quietly, encourages his actors to shout and thrash about, and so they do, like fish out of water and performers out of their depth. "
1,regular,1,The call on this one is: dead on arrival.
1,regular,1,Deeply personal and deeply silly.
1,regular,1,"It's depressingly self-conscious and turgid, and a cast that includes Dennis Hopper, David Carradine, Michael Madsen and Eric Balfour can't drag Hell Ride out of the mire."
1,regular,1,"This is sloppy filmmaking, and it's likely to wipe away whatever luster still remains to Shyamalan's reputation."
0,regular,0,"With great looks, a dandy supporting cast, a zinger-filled screenplay by Aaron Sorkin (""A Few Good Men"") and Mr. Douglas twinkling merrily in the Oval Office, The American President is sunny enough to make the real Presidency pale by comparison."
0,regular,0,"To look at Bringing Out the Dead --to look, indeed, at almost any Scorsese film--is to be reminded that film can touch us urgently and deeply."
1,regular,1,"The result is a lumbering attempt at sweet-and-saucy romance, all affected emotion and strained bad-boy humor."
0,regular,0,"The movie is full of juices that give it a healthy, pungent flow."
0,regular,0,"This is a film done right by just about every measure. The extremes of the story seep deep into your bones -- the beauty, the allure, the desperation and especially the cold in this world where life literally hangs on rope and what Mother Nature chooses to throw at you."
1,regular,1,"Steve Barron, who directed ""Teenage Mutant Ninja Turtles,"" ""Electric Dreams"" and a mess of music videos, understandably can't seem to whip up any enthusiasm for the project. Nor is he able to inspire this large, listless cast of zombies. "
0,regular,0,"In Julie and Julia, Ephron, like her heroines, has finally found what suits her: a surprising comic and romantic realism."
0,regular,0,Much of the success of the film is due to the four leads who seamlessly work the one or two outrageous moments into the story without resorting to over-the-top characterizations.
1,regular,1,"This is the sort of low-grade dreck that usually goes straight to video  -- with a lousy script, inept direction, pathetic acting, poorly dubbed dialogue and murky cinematography, complete with visible boom mikes."
1,regular,1,"People do stupid things all the time. My friend and I sat through Compliance, didn't we? But there is a level of stupidity displayed by the people in this movie that beggars belief. Their behavior is to stupidity as the Death Star is to a doughnut."
0,regular,0,"Lian Lunson’s camera allows the music to take center stage via straightforward, graceful compositions—close-ups and medium shots dominate, and edits are kept to a relative minimum—that allow for long, unbroken views of the artists at forceful, mournful work. "
0,regular,0,Kalvert and Goluboff overcome predictability by developing the film's characters and atmosphere instead. The result is a turbocharged ode to the lithe bodies and swaggering souls of boys who believe they're invincible - a glorious love song of youthful self-destructiveness.
0,regular,0,"It all feels studiously artless - some people huffily insist that Bujalski’s movies aren’t movies at all - but the more you contemplate his landscapes, the more his control over their various elements is revealed. He’s the real deal: a maturing artist obsessed with how and why - and if - his generation will mature."
1,regular,1,"The dialogue is as subtle as a placard, the drama manages to be both cooked-up and dull, and the movie’s fear of brainwashed, tech-addicted millennials is so broad as to be unintentionally funny."
1,regular,1,"The result is a performance that is neither funny nor empathetic, and the romance that develops between the dentist and the junkie patient is not strong enough to support the mystery."
