Human_classifier_polarity,label,Metacritic_polarity,review
0,regular,0,"Little Boy is charming and interesting and is a well-shot film overall the film has commonplace characters, a  terrible religious message, cliche's and it's offensive. The acting is okay, the actors give what is expected of them nothing special. An auto mechanic is sent James Busbee (Michael Rapaport) is sent to Japan to fight the Japanese during World War II, leaving his wife (Emily Watson) two sons London (David Henrie) Pepper (Jakob Salvati). Pepper feels upset without his father by his side, so he can't wait for him to return. His favorite magician Ben Eagle (Ben Chaplin) and priest (Tom Wilkinson) convince him to bring his dad home. The filmmakers want to make a story but they failed to make the story good overall they just made a silly mess. Grade B-"
1,regular,1,Sure year one had its laughs but it had so many stupid parts that I think this movie could be the worst movie of the summer.
0,regular,0,"Hot Tub Time Machine not only understands what is needed from an adult comedy, it doesnâ"
0,regular,0,The best picture of the year the cast is a wonderful Keira and James beautiful the direction is magnificent is an Oscar through.
1,regular,1,"A faux-silent film without anything of interest except some beautiful cinematography and some nice locations in Bulgaria. It's very boring, infantile, silly and seemingly the product of a low intelligence. It's not really a film for adults, because it's too childish and naive for that, and it's neither a film for children, because it's too arty and slow for that. And it features even a sex toy, so it's not really family friendly either. Sure, it's an unusual film, but this is no quality in itself, if there's no story to tell or any substance. This is a film for no one, except some movie freaks, who like to see a film without any dialogue. But they should watch instead ""Le dernier combat"" (1983), the far superior debut feature by Luc Besson, which was obviously a huge influence on this. Besson did it much better years before and created a small classic. This is a waste of time."
1,regular,1," Not every movie / story / TV show needs a ""reboot"". And that word in its current sense needs to be rebooted out of our lexicon. Rather than worrying about a reboot of a story that's been done to death, how about just telling a good story in an interesting way. Period."
0,regular,0,Enjoyable thriller. Don't let the Movie-reviewer wanna-be's dissuade you from a good movie.
1,regular,1,"There is not one single person who has seen this film who can like it on anything other than ideological grounds.  It is boring, didctic, and pedestrian.  The acting is straight out of 70s prime-time, and the director seems to have studied USA Network made-for-TV movies of the 1990s quite well.  As a film, it is poorly made; even if you consider yourself an Objectivist, save your money on this dud."
0,regular,0,"This is literally the best comedy movie I've ever watched. If you have an incredibly immature sense of humor, watch this movie. It's amazing. No flaws."
1,regular,1,"A great disappointment. So far the worst Star Wars movie. Weak plot, shallow characters and except from a few CGI moments completely forgettable."
1,regular,1,"Ugh!As good a job as Peter Jackson did with the rings, I simply cannot believe he is destroying The Hobbit. The Hobbit is the introductory book to the world of Tolkein and he is crapping all over it. This is, however, the best Harry Potter movie to date!"
