Human_classifier_polarity,label,Metacritic_polarity,review
0,regular,0,"Firstly, Ben Affleck is definitely the best Batman ever. Already we know Henry Cavill so compitable with Superman role but, nobody wait Ben Affleck's extraordiary role. In my opinion, the film has two excuses. Firstly, it is really too long, approximately 150 minutes, if only it has 90 or 100 minutes and we can so satisfied. Secondly, that ""Martha"" thing. On relevant scene, Batman has advantage and he is so nervous, but when he heart ""Martha will die"" words he give up. This is weird. Yes, Martha is his mom, but this is not enough reason for giving up. In addition, soundtracks of film are amazing. Especially, when our three heroes (Batman-Superman-Wonder Woman) presented together musics are extraordinary. Speaking of Wonder Woman, Gal Gadot is as succesfull as Ben Affleck. She looks like completely her comic-book version. Finally, I really suggest this film and if you do not have any prejudice, you will like this film."
0,regular,0,"One of the most interesting of the series, maybe we will see an improvement in performance and the scenarios are still pleasant, the story is good."
1,regular,1," I loved the first two movies but this one was sadly far away from both. The action was sub par and not amazing, and the humor was so ridiculously juvenile it's shocking that anyone laughed. I kept a straight face throughout the entire thing because basically it wasn't funny. I enjoy Chris Tucker usually, but in this case I'm going to have to say no. Of course, if you're a loyal Rush Hour Fan then of course you'll go see it, but go in as I did, knowing you're only going for the sake of loyalty. Perhaps you'll enjoy it despite the copycat story, low energy action sequences, and ridiculous jokes. That or you'll shed a few tears because of how disappointed you are."
0,regular,0,"Fantastic film, and Jake is its heart and soul. The trailer makes it look much more dour and depressing than it actually is. It's a true thriller, and I'm excited to see it again."
0,regular,0,"Without the performance of the actors breathing incredible genius into the main characters, this movie could have easily not delivered.  This as I found myself pondering long after, how could so much be conveyed and witnessed in the expressions and stillness of these characters with such sparing use of dialogue?  Genius, that's how!  Casting was critical!  It was mastery in the artists that came together to breath life into a story that unfolds a potential for humanity if we continue on this path of separation. The reality of it grips you.  You see what humanity becomes under desolate conditions.  It needs to be seen and felt by humanity. Having watched David Michod's first masterpiece, Animal Kingdom, he absolutely succeeded in delivering yet another 'masterpiece' of incredible artistry; from a story that was intense, and kept you riveted, to the incredible and stark, blunt, cinematography, and outstanding creative and captivating performances from lead actors Guy Pearce and Robert Pattinson.  Michod's unique artistic style and brilliance is definitely evident in both of his movies. These two actors, with very little dialogue and much silence, so masterfully performed, conveyed depth of character that secured an emotional connection for each.  Guy Pearce showcased the rawness of his character, Eric, who he portrays as hardened and desensitized by his past journey, while Robert Pattinson showcased Rey as the child-like innocence, hope and purity that survived the collapse of society and civilized order -- after some sort of man made apocalypse, which many believe is humanity's biggest future enemy.  Pattinson delivered a thoroughly convincing performance for a character with Rey's challenges, a role that could have easily gone so wrong if overplayed as so many have done in similar roles.  He was brilliant, as was Pearce.  Their creative interpretation of these characters is artistry in itself.  A brilliant piece of work that needs to be seen! The audience was 60% Male and 40% female.  After the movie was over, I remained in my seat, as did others, as I felt torn and pondered it's totality.  It was worth the 1-1/2 hour drive to get there.  I'll be seeing it many more times.  It needs to be soaked in."
1,regular,1,"I gave this movie a 2 because of Matt Damon, really this wasn't District 9. The only resemblance to that movie was the authors love of future weaponry. The story seemed rushed with no real plausible plot, Spoilers frankly I understand the authors need to put the protagonist in a spot whereby there is no other choice but to go to Elysium, they fail to explain why these special machines (which would have to be manufactured on earth (because lets face it everything else is.. the robots are) are only available on this space station. Another rush job by Sony just trying to make a quick buck and allow their blanket marketing campaign to bring in the audiences. Wish I could have the time and money back. Sorry Neil, I liked your other movie.. this one sucks. Matt you seriously should have passed on this script."
1,regular,1," Horrible. What's wrong with Trier these days. Sad, sad."
1,regular,1,In short: Trash. I went into this movie cold; not knowing the plot or movieâ
0,regular,0,"My wife and I use Metacritic religiously to guide us in our near weekly movie selection.  This was a movie we both opted for before checking the Metacritic score.  My wife and I both adore Helen Mirren, and my several in my family were Holocaust survivors.  While we often concur with Metacritic, there are often major misses.  Most of them are of the film festival award winners, produced to impress movie critics rather than entertain moviegoers.  The best example was Tree of Life, which had a near 100 Metacritic score but we absolutely hated.  Woman in Gold was the opposite.  Perhaps it was our fondness for Mirren.  Perhaps it was my Holocaust sensitivity (I went to my ancestral home, Poland, last year, and visited Auschwitz-Birkenau, where we believe family members were murdered).  But we LOVED this movie.  I am the emotional one and cried like a baby.  Because it is a true story and portrayed reasonably realistically, it is impossible not to enjoy this movie.  Please go see it."
0,regular,0,"A fairly decent Bond movie, spectacular action scenes, great special effects, great cinematography and score and of course performances, but the problem is the plot. It is very by the numbers, unoriginal, there is not much to it, it is really your typical action movie plot and also the villain is really not exploited the right way. You have a great actor (Christoph Waltz) playing the villain and a lot of premise, but his talents are kind of wasted. They build the character for more than an hour and when he finally appears it is for maybe 2-3 short scenes where he does pretty much nothing and when he does do something it fails and he look moronic. But in the end, it is a very enjoyable as an action film, but definitely not as much as Skyfall or Casino Royale."
