id,movie,author,metascore,review
0,mystic-river-movie,Kenneth Turan,100,"A major American motion picture, an overpowering piece of work that involves some of the most basic human emotions: love, hate, fear, revenge, despair. Directed by Clint Eastwood with absolute confidence and remarkable control."
1,hollywood-ending-movie,Lou Lumenick,75,A beautifully shot film with a funny French-twist ending.
2,luther-movie,Lou Lumenick,12,An unholy mess. 
3,untraceable-movie,Carrie Rickey,38,An abhorrent cyberthriller starring a compelling Diane Lane.
4,here-comes-the-boom-movie,Nathan Rabin,33,"Here Comes The Boom seems to have made it from the pitch stage - Kevin James does MMA to save his school or something! - to the big screen without an iota of inspiration, ambition, or personality seeping in at any juncture."
5,dawn-of-the-dead-1979-movie,Staff (Not Credited),100,"Undoubtedly the zombie movie to end 'em all... The horror/suspense content is brilliant enough to satisfy the most demanding fan, and the film uses superb locations like a huge shopping mall to further its Bosch-like vision of a society consumed by its own appetites. But take no munchies. "
6,bad-words-movie,Peter Keough,25,"Misogynistic, homophobic, scatological — none of these words come up in any of the spelling bees that take place in Jason Bateman’s directorial debut, but they apply to the film."
7,son-of-saul-movie,Inkoo Kang,100,It’s that devotion to truth that makes Son of Saul such a difficult watch — and also one of year’s most important masterpieces.
8,sils-maria-movie,Peter Debruge,90,Binoche leaves audiences with the same exhilarating feeling here — of having witnessed something precious and rare — answering the challenge of Assayas’ script by revealing a character incredibly closer to her soul.
9,the-long-kiss-goodnight-movie,Jonathan Rosenbaum,0,"If you haven't lived until you've heard Geena Davis say ""Suck my dick,"" New Line probably deserves your money."
10,atonement-movie,Rick Groen,75,It's an imperfect movie that serves as a perfect reminder of what the movies do best.
11,the-history-boys-movie,Carrie Rickey,88,Vibrates with exuberance and erudition.
12,the-incredibles-2-movie,Darren Franich,83,"Bird’s made the weirdest Pixar movie ever, revolutionary and retro, an anti-authoritarian ode to good parenting."
13,the-signal-2014-movie,Matt Glasby,80,"The best sci-fi trilogy you’ve never seen amalgamated into one organic whole. Surprising, exciting and, at times, strangely beautiful."
14,amazing-grace-movie,Nathan Rabin,75,"Unlike its subject, Amazing Grace won't change the world, but its quasi-religious sense of conviction proves rousing. Apted's unexpected crowd-pleaser is inspirational, but also surprisingly entertaining."
15,the-big-bang-movie,Stephen Holden,0,"With its red lighting and Hades-like smoke and fog, the lurid look of The Big Bang suggests a tacky disco inferno. I have a mental picture of the film's creators, stoned out of their minds on who knows what, cackling crazily as they outline a movie that would have more appropriately been titled ""The Big Goof."" "
16,the-philadelphia-story-movie,Joe Holleman,100,"It's shocking that Grant wasn't even nominated for an Oscar. [1 March 2005, p.E01]"
17,ninja-assassin-movie,Rene Rodriguez,25,"You don't go into a movie called Ninja Assassin expecting a hell of a lot, but this shockingly disjointed and relentlessly dull picture can't even deliver the martial-arts kick its title so plainly promises."
18,seabiscuit-movie,Stanley Kauffmann,80,"Aesop endowed animals with human traits to teach us lessons. Seabiscuit almost does the reverse. By means of Ross's adroit shooting and editing, we ourselves pound bravely along the track. "
19,s1m0ne-movie,David Sterritt,25,"Moves at a lumbering pace, peppered with ungainly gags and dramatic moments with little emotional power. The ironic commentary on show-biz superficiality is sabotaged by Niccol's failure to make his own story seem real."
20,the-immigrant-movie,Stephanie Zacharek,100,"Gray has a knack for wrapping big themes into an intimate embrace, and The Immigrant feels both epic and fine-grained."
21,rejoice-and-shout-movie,Kenneth Turan,100,Rejoice provides both a melodic education and a once-in-a-lifetime concert in one soul-stirring package.
22,entourage-movie,Brian Tallerico,38,"Without Piven and Dillon to keep it entertaining, it would be absolutely dreadful."
23,standing-in-the-shadows-of-motown-movie,Robert Wilonsky,80,"If there's a flaw with the film, it's that Justman doesn't trust his narrators enough; too often he'll stage a re-enactment while someone's talking, as if he's afraid the mere tales themselves won't hold our interest. But they will, as long as there's a kid slapping a bass, a sampler swiping a groove or some middle-aged couple slow dancing to Marvin Gaye or the Miracles."
24,the-life-of-david-gale-movie,J.R. Jones,10,"A new low for director Alan Parker, this trite mystery thriller does for capital punishment what his ""Mississippi Burning"" did for civil rights: with its muddled message, liberal piety, and slick Hollywood plot mechanics."
25,the-signal-2014-movie,Robert Abele,70,"Eubank's fizzy mix of self-conscious, set-piece image-making and small-scale human detail is admirable."
26,are-we-there-yet-movie,Kirk Honeycutt,30,Runs 96 minutes but feels like so much more. There is only one gag.
27,son-of-a-gun-movie,Chris Nashawaty,75,"Son of a Gun becomes a somewhat predictable but excitingly twisty heist film involving a double-dealing Russian heavy, a desperate femme fatale, and a fortune in gold bars. It has just enough muscle and style to make the familiar feel fresh."
28,quiet-chaos-movie,Ella Taylor,30,Not even the momentary participation extraordinaire of a vertically challenged famous filmmaker self-exiled from the United States can save this phony pseudo-drama from its final collapse into a heap of inconsequence and male vanity.
29,the-voices-movie,Chuck Bowen,12,"For most of the film's running time, one mistakes the main character's callousness for the filmmakers'."
30,12-strong-movie,Brian Truitt,63,"Hemsworth’s machismo is all real, though, and for two war-torn hours, you’ll forget about that iconic hammer of his."
31,no-strings-attached-movie,Carrie Rickey,75,"Kutcher and Portman have terrific screen physics, using their 12-inch height difference to considerable slapstick effect."
32,hellboy-movie,Joe Morgenstern,90,"A perfect fit in the category of instant classic, and, not incidentally, fits the profile of super-profitability. Bursting the bonds of its genre, Hellboy fills the screen with gorgeous imagery, vertiginous action and a surprising depth of feeling."
33,neil-young-journeys-movie,Kalvin Henely,75,"As great and intimate as Live at Massey Hall 1971 may be, it's not as transportive as this filming of a Neil Young performance at the venue 30 years later. "
34,the-dukes-of-hazzard-movie,Robert Wilonsky,10,"The movie's so unfunny, it almost appears to be that way on purpose, kind of like an Ingmar Bergman film."
35,capturing-the-friedmans-movie,Howard Karren,88,Jarecki does a remarkable job with this easily exploitable material.
36,sideways-movie,Jack Mathews,100,"The best comedy of 2004. In fact, it's so far the best movie of the year."
37,anastasia-movie,Peter Stack,100,"A gorgeous piece of work. It pulls every heartstring a good romance should, yet bursts with G-rated fun, wonderfully human characters and several solid and hummable songs."
38,you-only-live-twice-movie,James Berardinelli,63,"Unfortunately, this is also among the weakest of the early Bond films, although Connery is in peak form."
39,something-borrowed-movie,Stephanie Merry,38,"Something Borrowed clinches it: It is not okay to sleep with the fiance of one's best friend. What's odd, and ultimately icky, is how enthusiastically the film attempts to justify doing so. "
40,8-women-2000-movie,Jonathan Foreman,12,More prettily photographed pretentious rubbish from the ridiculous Peter Greenaway.
41,henry-fool-movie,Joe Morgenstern,0,I found it insufferably fatuous and damned near interminable. [26 Jun 1998]
42,chicken-run-movie,Steven Rea,100,"It's aimed at adults as much as children, with jokes that work on multiple levels, and contraptions."
43,the-layover-movie,Derek Smith,12,"William H. Macy's The Layover was clearly conceived and written by men who have no interest in approaching female friendships with any degree of complexity, curiosity, or respect. "
44,the-wedding-date-movie,Lou Lumenick,0,"A witless, stale and half-hearted rehash of cliches borrowed from the likes of ""The Wedding Planner,"" ""The Wedding Singer"" and ""Four Weddings and a Funeral,"" this pathetic, alleged comedy certainly wasn't improved by clueless direction by Clare Kilner."
45,the-devil-inside-movie,Wesley Morris,0,No one onscreen was actor enough to make us believe we were watching actual people commit or require actual exorcisms. 
46,american-pastoral-movie,Blake Goble,25,The film’s a fundamental fiasco of tone and timing.
47,company-man-movie,Jonathan Rosenbaum,20,The unfunniest comedy I can recall seeing in ages.
48,hotel-artemis-movie,Rex Reed,0,"Moronic drivel that truly qualifies as the worst movie of the year, it sinks amateurish moviemaking aimed at audiences with no taste to an alarming new low."
49,demonlover-movie,Stephen Holden,80,The entrancing visual imagery goes a long way toward filling in the screenplay's gaps in logic.
50,hellboy-movie,M. E. Russell,83,The movie's got a heart as warm as hellfire.
51,secretary-movie,Rene Rodriguez,25,"The characters in Secretary never feel the least bit human. Their quirks, sexual and otherwise, are all on the surface. Inside, where it counts, nobody's home."
52,the-cavemans-valentine-movie,Reece Pendleton,30,"Kasi Lemmons directed this tepid thriller, whose only genuinely creepy aspect is its cavalier and uninformed use of mental illness and classical music to heighten the meager suspense."
53,the-clay-bird-movie,Marta Barber,75,"For all its tumult, The Clay Bird mostly concentrates on its likable characters, all acted with the kind of understatement that makes a good film better. "
54,for-greater-glory-movie,Mick LaSalle,25,"If For Greater Glory were a person, it would be wearing two different socks. It is a scattered mess, as earnest as a folk song, but like a folk song that goes on for two hours and 23 minutes. Not only does it never justify its epic length, it gets even the small things wrong."
55,barely-lethal-movie,Kyle Smith,38,"Treading the same halls as “Kick-Ass” and “Kingsman,” Barely Lethal imagines an academy of teen assassins. Life there is deadly, but not as scary as high school."
56,tulpan-movie,J. Hoberman,100,"In every respect, this unclassifiable movie is an amazing accomplishment."
57,thinner-movie,Michael Ollove,12,"Thinner provides little suspense and no chills, not to mention rather offensive treatment of Gypsies, Italians and women. Acting isn't at a premium either."
58,beautiful-people-movie,Jay Carr,63,"It's a spirited and essentially optimistic film, but it's also simplistic."
59,coffee-and-cigarettes-movie,Mick LaSalle,25,Flat and uninspired. 
60,bukowski-born-into-this-movie,Allison Benedikt,75,Raw and defining documentary about the man--and the myth.
61,the-tree-of-life-movie,Steve Persall,75,"Ponderous and perplexing, a somberly audacious film to make viewers swoon or snore, take your pick. It is defiantly opaque, a free-form meditation on nature and nurture across millennia with a tinge of biblical grace."
62,pokemon-the-movie-2000-movie,Desson Thomson,10,"Avoid this movie unless a) your child has refused to eat until you take him or her, or b) your house is being fumigated to kill an infestation of mosquitoes with the West Nile virus."
63,thirteen-ghosts-movie,Paul Malcolm,20,"A brutish affair replete with sliced bodies, a diced storyline and enough clanky dialogue to wake the dead."
64,guardians-of-the-galaxy-movie,Elizabeth Weitzman,80,"To see an expensive, big-studio movie freed from creative constraints and directorial cynicism is always a rare and wondrous experience. In a season of bloated indulgence, it’s also fair to call it a marvel."
65,excess-baggage-movie,Darren Bignell,20,"However, it is probably the screenplay that is most at fault, and while ""Demolition Man"" director Brambilla again makes things look okay, his hands are tied with flat dialogue, zero comedy and not much caper, either."
66,despicable-me-3-movie,Justin Chang,10,"Under the pretext of offering fun for the whole family, the movie winds up doing almost precisely the opposite; its attempts at grown-up sophistication and cheeky, knowing humor are clueless and hectoring enough to leave any adult in the audience wishing they’d been straight-up ignored."
67,the-chronicles-of-narnia-the-lion-the-witch-and-the-wardrobe-movie,Stephanie Zacharek,90,"There's nothing too clean or too overbright about it. It's magic, but not the loud, shiny kind: It has the texture of worn velvet, or a painstakingly hand-knit sweater stored away for years in tissue paper."
68,the-lost-city-movie,Lou Lumenick,25,"Sometimes there's a fine line between a labor of love and a vanity project, and The Lost City, Andy Garcia's heartfelt - but hackneyed and interminable - love letter to his native Cuba, repeatedly crosses it."
69,the-challenge-movie,Diego Semerene,75,"Here the organic and the frivolously material aren't oppositions or rivals, but partners in a spectacle for men's eyes only."
70,man-on-the-train-movie,Joe Morgenstern,100,"Goes from good to great in 90 minutes, and then it's over, except that it's really not, because this small masterwork grows even deeper and more affecting as it takes up permanent residence in your memory."
71,lucky-numbers-movie,Wesley Morris,63,An unsteady stab at noir.
72,dead-man-walking-movie,Elvis Mitchell,90,Quietly courageous drama .
73,meet-dave-movie,Marjorie Baumgarten,20,"After his disastrous outing in 200X with ""The Adventures of Pluto Nash,"" there was no direction for Murphy to head but up in terms of another space alien movie. Indeed, Meet Dave is a step up, but that's only in relation to Pluto Nash."
74,the-bounty-hunter-movie,Kerry Lengel,70,"As formula films go, The Bounty Hunter is more enjoyable than most, even if it packs in as many cliches as any."
75,be-kind-rewind-movie,Keith Phipps,83,"The visual wit, game performances, and overflowing humanity have more than made up for the shortcomings by the time the film finds a final moment that's simultaneously abrupt and magical."
76,the-conjuring-2-movie,E. Oliver Whitney,30,"If The Conjuring is an example of the haunted house movie done right, The Conjuring 2 is an example of everything gone wrong. You can only retread old tropes so many times."
77,see-spot-run-movie,Owen Gleiberman,0,"Personally, I'd say that it was about time Arquette was leashed."
78,the-company-movie,Maitland McDonagh,70,"Though the ballets themselves are beautifully shot, they lean heavily in the direction of gimmicky and prop-heavy pieces; they're visually interesting but, by and large, they're not great dance. "
79,the-impossible-movie,Ed Gonzalez,12,"A sham realist's disaster movie, tackily insulting the deaths of 300,000 people by reducing the horrors of the Indian Ocean tsunami to a series of genre titillations."
80,like-someone-in-love-movie,Ty Burr,88,"The new film is slender, and it plays obliquely with the style of the 20th-century Japanese master Yasujiro Ozu: simple shots of simple people revealing universal truths."
81,freddy-got-fingered-movie,Susan Wloszczyna,25,Not since Andy Kaufman's reign of terror has a supposed funnyman been so self-indulgently persistent in testing a fan's patience.
82,finding-neverland-movie,Lou Lumenick,100,Pure magic. 
83,2016-obamas-america-movie,Owen Gleiberman,0,Dinesh D'Souza's documentary is no mere screed: 2016: Obama's America is a nonsensically unsubstantiated act of character assassination.
84,burying-the-ex-movie,Chuck Bowen,25,"It alternates awkwardly between shrill, borderline misogynistic sex farce and desperately gory, pun-rife creature feature. "
85,abduction-movie,Stephen Holden,20,"A sloppy, exploitative act of star worship created (if that's the right word for cynical hackwork) around Mr. Lautner, the pouty 19-year-old heartthrob of the ""Twilight"" franchise. "
86,nine-lives-2016-movie,Nigel M Smith,20,It’s lazy on every level.
87,unknown-2011-movie,Lou Lumenick,75,Unknown actually has enough of a sense of humor to admit what it is: hybrid corn. But it's been crossbred from Hitchcockian stock.
88,house-of-fools-movie,V.A. Musetto,75,"Konchalovsky, best known here for ""Runaway Train"" (1985), takes on a difficult subject with a light mix of dark humor and pathos."
89,the-center-of-the-world-movie,Dana Stevens,20,"In a culture apparently defined by lap dancing, ersatz architectural sublimity and the virtual contact of cyberspace, how do we know what is real? The Center of the World,  for example, is as phony as can be."
